M,N,D
36100,400,20.25
36200,400,18.35
36300,400,20.35
36400,400,21.8
36500,400,22.55
36600,400,29.15
36700,400,19
36800,400,21.5
36900,400,21.5
37000,400,24.8
37100,400,26.95
37200,400,26.2
37300,400,21.8
37400,400,30.05
37500,400,21.9
37600,400,10.4
37700,400,22.25
37800,400,24.95
37900,400,23.5
38000,400,30.25
38100,400,18.4
38200,400,25.7
38300,400,24.25
38400,400,22.35
38500,400,16.6
38600,400,22.7
38700,400,20.4
38800,400,16.05
38900,400,23.75
39000,400,31.2
39100,400,34.05
39200,400,28.85
39300,400,14.45
39400,400,30.8
39500,400,25.9
39600,400,25.55
39700,400,22.05
39800,400,13.7
39900,400,23.85
40000,400,14.35
40100,400,24.1
40200,400,20.1
40300,400,18.05
40400,400,17.8
40500,400,32
40600,400,26.3
40700,400,32
40800,400,15.55
40900,400,24.45
41000,400,23.1
41100,400,16.45
41200,400,20.55
41300,400,20.6
41400,400,33.25
41500,400,19.1
41600,400,27.2
41700,400,18.15
41800,400,25.3
41900,400,24.55
42000,400,31.4
42100,400,28.05
42200,400,22.6
42300,400,25.45
42400,400,22.4
42500,400,17.2
42600,400,20.2
42700,400,20.95
42800,400,23.5
42900,400,24.35
43000,400,29.8
43100,400,20.7
43200,400,25.75
43300,400,28.7
43400,400,24.55
43500,400,16.25
43600,400,22.85
43700,400,22.65
43800,400,14.8
43900,400,24.35
44000,400,20.85
44100,400,14.45
44200,400,27.4
44300,400,21.55
44400,400,18.2
44500,400,19.45
44600,400,20.05
44700,400,22.75
44800,400,23.85
44900,400,29.9
45000,400,21.5
45100,400,28.15
45200,400,18.05
45300,400,16.25
45400,400,23.7
45500,400,19.8
45600,400,19.9
45700,400,26.3
45800,400,26.5
45900,400,27.15
46000,400,18.15
46100,400,27.8
46200,400,20.1
46300,400,18.75
46400,400,24.7
46500,400,16.45
46600,400,16.75
46700,400,22.7
46800,400,28.75
46900,400,24.85
47000,400,23.85
47100,400,20.7
47200,400,23.65
47300,400,22.55
47400,400,22.1
47500,400,27.8
47600,400,13
47700,400,23
47800,400,31.45
47900,400,21.35
48000,400,28.05
48100,400,20.2
48200,400,25.8
48300,400,23.45
48400,400,17.7
48500,400,19.85
48600,400,26
48700,400,26.8
48800,400,21.25
48900,400,27.9
49000,400,29.25
49100,400,26.95
49200,400,25.1
49300,400,25.1
49400,400,19.45
49500,400,23.4
49600,400,21.6
49700,400,20.55
49800,400,22.8
49900,400,25.55
50000,400,28.05
50100,400,19.6
50200,400,32.25
50300,400,28.45
50400,400,14.75
50500,400,22.05
50600,400,24.4
50700,400,17.3
50800,400,18.6
50900,400,25.8
51000,400,17.2
51100,400,13.95
51200,400,20.8
51300,400,24.8
51400,400,25.45
51500,400,28.25
51600,400,22.8
51700,400,19.6
51800,400,20.1
51900,400,29.35
52000,400,29.4
52100,400,30.95
52200,400,17.9
52300,400,22.6
52400,400,32.05
52500,400,20.3
52600,400,17.95
52700,400,26.5
52800,400,32.5
52900,400,22.3
53000,400,13.6
53100,400,28.3
53200,400,19.6
53300,400,19.95
53400,400,24.75
53500,400,32.85
53600,400,15.45
53700,400,16.9
53800,400,26.7
53900,400,27.65
54000,400,23
54100,400,24.85
54200,400,18.5
54300,400,17.55
54400,400,10.95
54500,400,16.85
54600,400,26.3
54700,400,15.75
54800,400,42.1
54900,400,24.05
55000,400,22.15
55100,400,23.8
55200,400,21.5
55300,400,26.5
55400,400,16.65
55500,400,15.95
55600,400,24.4
55700,400,25.95
55800,400,17.35
55900,400,13.65
56000,400,21.3
56100,400,24.8
56200,400,21.2
56300,400,23.5
56400,400,24.7
56500,400,31.9
56600,400,31.05
56700,400,34.3
56800,400,22.3
56900,400,21.65
57000,400,22.85
57100,400,22.45
57200,400,31.7
57300,400,28.4
57400,400,17.95
57500,400,22.8
57600,400,30.5
57700,400,31.2
57800,400,20.15
57900,400,19.5
58000,400,19.1
58100,400,26.55
58200,400,23.6
58300,400,17
58400,400,30.95
58500,400,16.55
58600,400,18.7
58700,400,27.25
58800,400,27.75
58900,400,18.3
59000,400,26.25
